id,splitOnRecType,splitOnPatchLocation,stimulusTag,splitOnExperimentDate,imageName,imagePatchIndex,celllabel,splitOnDelTag,currentPatchLocation_1,currentPatchLocation_2,equivalentIntensity,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
84,"inh","1209   261","intensity","2016/08/10","00152",14,"Cell 2 - on parasol","keep",1209,261,0.285478145666678,0.199407172495471,258.87250919098,34.3059735456745,2,84
85,"cell-attach","1215   597","image","2016/08/10","00152",15,"Cell 2 - on parasol","keep",1215,597,0.196391598543804,0.199407172495471,0.608029347635539,1.3631798587123,2,85
86,"exc","1215   597","image","2016/08/10","00152",15,"Cell 2 - on parasol","keep",1215,597,0.196391598543804,0.199407172495471,-25.9903634312313,8.48643331706255,2,86
87,"inh","1215   597","image","2016/08/10","00152",15,"Cell 2 - on parasol","keep",1215,597,0.196391598543804,0.199407172495471,4.7296431449298,125.642089340567,2,87
88,"cell-attach","1215   597","intensity","2016/08/10","00152",15,"Cell 2 - on parasol","keep",1215,597,0.196391598543804,0.199407172495471,-0.191879127818801,0.52134926989898,2,88
89,"exc","1215   597","intensity","2016/08/10","00152",15,"Cell 2 - on parasol","keep",1215,597,0.196391598543804,0.199407172495471,29.4347199307928,11.0970164481131,2,89
90,"inh","1215   597","intensity","2016/08/10","00152",15,"Cell 2 - on parasol","keep",1215,597,0.196391598543804,0.199407172495471,-75.7640168865985,117.929030403579,2,90
91,"cell-attach","785  180","image","2016/08/10","00152",16,"Cell 2 - on parasol","keep",785,180,0.211429171158125,0.199407172495471,-0.140708528977379,2.84392593670948,2,91
92,"exc","785  180","image","2016/08/10","00152",16,"Cell 2 - on parasol","keep",785,180,0.211429171158125,0.199407172495471,37.4808156021964,15.6716220729623,2,92
93,"inh","785  180","image","2016/08/10","00152",16,"Cell 2 - on parasol","keep",785,180,0.211429171158125,0.199407172495471,1398.67549516688,126.961137274619,2,93
94,"cell-attach","785  180","intensity","2016/08/10","00152",16,"Cell 2 - on parasol","keep",785,180,0.211429171158125,0.199407172495471,0.0269841978763421,0.812078145134241,2,94
95,"exc","785  180","intensity","2016/08/10","00152",16,"Cell 2 - on parasol","keep",785,180,0.211429171158125,0.199407172495471,-39.0847560660315,12.9284056809311,2,95
96,"inh","785  180","intensity","2016/08/10","00152",16,"Cell 2 - on parasol","keep",785,180,0.211429171158125,0.199407172495471,-76.8656421248181,93.8914594420112,2,96
97,"cell-attach","1285   697","image","2016/08/10","00152",17,"Cell 2 - on parasol","keep",1285,697,0.365823490748764,0.199407172495471,14.4984876065995,13.1679411983632,2,97
